Date,Dividends
2015-04-17,0.01633
2018-07-20,0.01264
2016-04-20,0.01557
2017-04-19,0.01489
2013-11-06,0.0076
2018-04-20,0.01324
2014-08-04,0.015
2015-04-29,0.00628
2015-10-20,0.01625
2016-10-18,0.01399
2015-01-27,0.01585
2014-01-29,0.0151
2014-05-06,0.01562
2016-01-27,0.01614
2017-10-20,0.01374
2017-01-27,0.0157
2018-01-26,0.01383
2015-07-21,0.00987
2016-07-19,0.01565
2014-10-28,0.01546
2017-07-19,0.01466
2018-10-23,0.01245
